Node	Network
1	FP
2	SAL
3	DMN
4	FP
5	DMN
6	DMN
7	FP
8	FP
9	FP
10	MF
11	SAL
12	MF
13	DMN
14	FP
15	SAL
16	MF
17	FP
18	SAL
19	FP
20	SAL
21	FP
22	FP
23	MS
24	MS
25	MS
26	MS
27	MS
28	SAL
29	SAL
30	FP
31	FP
32	SAL
33	MS
34	MS
35	MS
36	SAL
37	MS
38	MS
39	MS
40	MS
41	VAs
42	VI
43	VAs
44	SAL
45	MS
46	MS
47	FP
48	FP
49	DMN
50	DMN
51	MS
52	MF
53	MF
54	MF
55	FP
56	MF
57	MF
58	MS
59	VAs
60	MS
61	MS
62	MS
63	MS
64	MF
65	MF
66	VAs
67	VAs
68	VI
69	VAs
70	FP
71	VAs
72	VI
73	VAs
74	VAs
75	VI
76	VII
77	VI
78	VII
79	VI
80	VI
81	VII
82	VI
83	SAL
84	MS
85	DMN
86	DMN
87	VI
88	SAL
89	MS
90	DMN
91	SAL
92	MS
93	SC
94	SC
95	SC
96	DMN
97	MS
98	VI
99	SC
100	VII
101	CBL
102	VII
103	CBL
104	CBL
105	CBL
106	CBL
107	CBL
108	CBL
109	MS
110	SAL
111	FP
112	FP
113	CBL
114	CBL
115	DMN
116	FP
117	CBL
118	CBL
119	SAL
120	SC
121	SC
122	SC
123	SC
124	SC
125	SC
126	SC
127	SC
128	SC
129	CBL
130	CBL
131	CBL
132	CBL
133	CBL
134	DMN
135	SAL
136	SAL
137	MF
138	DMN
139	FP
140	MF
141	DMN
142	FP
143	FP
144	SAL
145	MF
146	SAL
147	FP
148	MF
149	MF
150	MF
151	MF
152	SAL
153	MF
154	FP
155	SAL
156	MF
157	FP
158	MS
159	MS
160	MS
161	MS
162	MF
163	MS
164	FP
165	MF
166	MS
167	MS
168	MS
169	SAL
170	MS
171	MS
172	MS
173	MS
174	MS
175	VAs
176	VI
177	VAs
178	SAL
179	MS
180	MS
181	MS
182	FP
183	MF
184	FP
185	MF
186	MF
187	MF
188	MS
189	MS
190	MF
191	MS
192	MF
193	FP
194	MF
195	MS
196	FP
197	MS
198	VI
199	FP
200	VAs
201	VAs
202	MS
203	DMN
204	VAs
205	VI
206	VAs
207	VI
208	VI
209	VAs
210	VAs
211	VI
212	VII
213	VII
214	VII
215	VI
216	VI
217	SC
218	MS
219	MF
220	SAL
221	SAL
222	DMN
223	DMN
224	SAL
225	DMN
226	SAL
227	DMN
228	MS
229	SC
230	SC
231	SC
232	SC
233	SC
234	SC
235	MS
236	CBL
237	CBL
238	CBL
239	DMN
240	VAs
241	VII
242	FP
243	CBL
244	SAL
245	SAL
246	FP
247	FP
248	CBL
249	CBL
250	CBL
251	SAL
252	CBL
253	CBL
254	CBL
255	CBL
256	CBL
257	SC
258	SC
259	SC
260	SC
261	SC
262	SC
263	SC
264	SC
265	SC
266	CBL
267	CBL
268	CBL

